stage,n_samples,n_vuln,n_safe,classifier,precision,precision_std,recall,recall_std,f1,f1_std,accuracy,accuracy_std
S1 Naive,243,143,100,RF,1.0,0.0,0.9648,0.0226,0.9819,0.0117,0.9793,0.0132
S1 Naive,243,143,100,GB,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
S1 Naive,243,143,100,LR,0.9392,0.023,0.9579,0.0147,0.9482,0.0103,0.9383,0.0129
S1 Naive,243,143,100,SVM,0.9105,0.0473,0.9507,0.0289,0.9289,0.0218,0.9137,0.0297
S2 + Length-matched,286,143,143,RF,1.0,0.0,0.9788,0.0285,0.9891,0.0147,0.9895,0.014
S2 + Length-matched,286,143,143,GB,1.0,0.0,0.9929,0.0143,0.9964,0.0073,0.9965,0.007
S2 + Length-matched,286,143,143,LR,0.8824,0.0471,0.8946,0.0505,0.8883,0.0473,0.8881,0.0465
S2 + Length-matched,286,143,143,SVM,0.7806,0.0723,0.9089,0.0576,0.8395,0.0655,0.825,0.0738
S3 + Strip-comments,286,143,143,RF,0.8313,0.0894,0.9224,0.0613,0.8722,0.064,0.8635,0.0689
S3 + Strip-comments,286,143,143,GB,0.8748,0.0789,0.902,0.0341,0.8851,0.0339,0.8811,0.0407
S3 + Strip-comments,286,143,143,LR,0.8518,0.0669,0.8599,0.0497,0.8544,0.0492,0.8532,0.0515
S3 + Strip-comments,286,143,143,SVM,0.7873,0.0564,0.9227,0.0572,0.8489,0.0513,0.8357,0.0549
S4 + Keyword-only,286,143,143,RF,0.8783,0.096,0.9224,0.0613,0.8966,0.0618,0.8915,0.0661
S4 + Keyword-only,286,143,143,GB,0.8791,0.0791,0.9089,0.0358,0.8916,0.0455,0.888,0.0505
S4 + Keyword-only,286,143,143,LR,0.8434,0.0648,0.8527,0.0477,0.8474,0.0522,0.8461,0.0538
S4 + Keyword-only,286,143,143,SVM,0.7859,0.0577,0.9158,0.0535,0.8454,0.0526,0.8322,0.0572
