method,hallucinated_type,fp_contracts_with_this_type,share_of_method_fp
LLM_Baseline,access_control,92,0.9684
LLM_Baseline,unchecked_low_level_calls,57,0.6
LLM_Baseline,reentrancy,21,0.2211
LLM_Baseline,arithmetic,29,0.3053
LLM_Baseline,denial_of_service,20,0.2105
LLM_Baseline,time_manipulation,1,0.0105
LLM_Baseline,race_condition_in_approve,4,0.0421
LLM_Baseline,approval_race_condition,3,0.0316
LLM_Baseline,bad_randomness,1,0.0105
LLM_Baseline,missing_approval_mechanism,1,0.0105
LLM_Baseline,use_of_throw_(deprecated),1,0.0105
LLM_Baseline,tx.origin_authentication,0,0.0
LLM_Baseline,unchecked_call_return,0,0.0
V4_Prompt,access_control,75,1.0
V4_Prompt,unchecked_low_level_calls,62,0.8267
V4_Prompt,reentrancy,39,0.52
V4_Prompt,arithmetic,16,0.2133
V4_Prompt,denial_of_service,2,0.0267
V4_Prompt,time_manipulation,10,0.1333
V4_Prompt,race_condition_in_approve,0,0.0
V4_Prompt,approval_race_condition,0,0.0
V4_Prompt,bad_randomness,2,0.0267
V4_Prompt,missing_approval_mechanism,0,0.0
V4_Prompt,use_of_throw_(deprecated),0,0.0
V4_Prompt,tx.origin_authentication,1,0.0133
V4_Prompt,unchecked_call_return,0,0.0
DmAVID_Hybrid,access_control,4,0.1667
DmAVID_Hybrid,unchecked_low_level_calls,21,0.875
DmAVID_Hybrid,reentrancy,17,0.7083
DmAVID_Hybrid,arithmetic,2,0.0833
DmAVID_Hybrid,denial_of_service,2,0.0833
DmAVID_Hybrid,time_manipulation,0,0.0
DmAVID_Hybrid,race_condition_in_approve,0,0.0
DmAVID_Hybrid,approval_race_condition,0,0.0
DmAVID_Hybrid,bad_randomness,0,0.0
DmAVID_Hybrid,missing_approval_mechanism,0,0.0
DmAVID_Hybrid,use_of_throw_(deprecated),0,0.0
DmAVID_Hybrid,tx.origin_authentication,0,0.0
DmAVID_Hybrid,unchecked_call_return,1,0.0417
